"id","code","name","user_type_id:id","reconcile","chart_template_id:id","group_id:id"
"0010","0010","Freehold Property","account.data_account_type_fixed_assets","FALSE","l10n_mt","l10n_mt.account_group_property"
"0011","0011","Leasehold Property","account.data_account_type_fixed_assets","FALSE","l10n_mt","l10n_mt.account_group_property"
"0020","0020","Plant and Machinery","account.data_account_type_fixed_assets","FALSE","l10n_mt","l10n_mt.account_group_equipment"
"0021","0021","Plant/Machinery Depreciation","account.data_account_type_fixed_assets","FALSE","l10n_mt","l10n_mt.account_group_equipment"
"0030","0030","Office Equipment","account.data_account_type_fixed_assets","FALSE","l10n_mt","l10n_mt.account_group_equipment"
"0031","0031","Office Equipment Depreciation","account.data_account_type_fixed_assets","FALSE","l10n_mt","l10n_mt.account_group_equipment"
"0040","0040","Furniture and Fixtures","account.data_account_type_fixed_assets","FALSE","l10n_mt","l10n_mt.account_group_equipment"
"0041","0041","Furniture/Fixture Depreciation","account.data_account_type_fixed_assets","FALSE","l10n_mt","l10n_mt.account_group_equipment"
"0050","0050","Motor vehicles","account.data_account_type_fixed_assets","FALSE","l10n_mt","l10n_mt.account_group_vehicles"
"0051","0051","Motor vehicles Depreciation","account.data_account_type_fixed_assets","FALSE","l10n_mt","l10n_mt.account_group_vehicles"
"1001","1001","Stock","account.data_account_type_current_assets","FALSE","l10n_mt","l10n_mt.account_group_inventory"
"1002","1002","Work in Progress","account.data_account_type_current_assets","FALSE","l10n_mt","l10n_mt.account_group_inventory"
"1003","1003","Finished Goods","account.data_account_type_current_assets","FALSE","l10n_mt","l10n_mt.account_group_inventory"
"1004","1004","Liquidity Transfer","account.data_account_type_current_assets","TRUE","l10n_mt","l10n_mt.account_group_internal"
"1005","1005","Stock Interim (Received)","account.data_account_type_current_assets","TRUE","l10n_mt","l10n_mt.account_group_inventory"
"1006","1006","Stock Interim (Delivered)","account.data_account_type_current_assets","TRUE","l10n_mt","l10n_mt.account_group_inventory"
"1100","1100","Debtors Control Account","account.data_account_type_receivable","TRUE","l10n_mt","l10n_mt.account_group_receivables"
"1101","1101","Sundry Debtors","account.data_account_type_receivable","TRUE","l10n_mt","l10n_mt.account_group_receivables"
"1102","1102","Other Debtors","account.data_account_type_current_assets","TRUE","l10n_mt","l10n_mt.account_group_receivables"
"1103","1103","Prepayments","account.data_account_type_current_assets","TRUE","l10n_mt","l10n_mt.account_group_receivables"
"1104","1104","VAT Refund","account.data_account_type_receivable","TRUE","l10n_mt","l10n_mt.account_group_taxation"
"1105","1105","Debtors Control Account (PoS)","account.data_account_type_receivable","TRUE","l10n_mt","l10n_mt.account_group_receivables"
"1200","1200","Bank Current Account","account.data_account_type_liquidity","FALSE","l10n_mt","l10n_mt.account_group_bank_cash"
"1210","1210","Cash held for deposit","account.data_account_type_liquidity","FALSE","l10n_mt","l10n_mt.account_group_bank_cash"
"1220","1220","Bank Savings Account","account.data_account_type_liquidity","FALSE","l10n_mt","l10n_mt.account_group_bank_cash"
"1230","1230","Petty Cash","account.data_account_type_liquidity","FALSE","l10n_mt","l10n_mt.account_group_bank_cash"
"1240","1240","Company Credit Card","account.data_account_type_liquidity","FALSE","l10n_mt","l10n_mt.account_group_bank_cash"
"1250","1250","Credit Card Receipts","account.data_account_type_liquidity","FALSE","l10n_mt","l10n_mt.account_group_bank_cash"
"2100","2100","Creditors Control Account","account.data_account_type_payable","TRUE","l10n_mt","l10n_mt.account_group_payables"
"2101","2101","Sundry Creditors","account.data_account_type_payable","TRUE","l10n_mt","l10n_mt.account_group_payables"
"2102","2102","Other Creditors","account.data_account_type_payable","TRUE","l10n_mt","l10n_mt.account_group_payables"
"2109","2109","Accruals","account.data_account_type_payable","TRUE","l10n_mt","l10n_mt.account_group_payables"
"2200","2200","Sales Tax Control Account","account.data_account_type_current_assets","FALSE","l10n_mt","l10n_mt.account_group_taxation"
"2201","2201","Purchase Tax Control Account","account.data_account_type_current_assets","FALSE","l10n_mt","l10n_mt.account_group_taxation"
"2202","2202","VAT Liability","account.data_account_type_payable","TRUE","l10n_mt","l10n_mt.account_group_taxation"
"2210","2210","Payroll Taxes","account.data_account_type_payable","TRUE","l10n_mt","l10n_mt.account_group_operating_cost"
"2220","2220","Net Wages","account.data_account_type_payable","TRUE","l10n_mt","l10n_mt.account_group_operating_cost"
"2230","2230","Pension Fund","account.data_account_type_payable","TRUE","l10n_mt","l10n_mt.account_group_operating_cost"
"2300","2300","Long term Loan I","account.data_account_type_payable","TRUE","l10n_mt","l10n_mt.account_group_financing"
"2310","2310","Long term Loan II","account.data_account_type_payable","TRUE","l10n_mt","l10n_mt.account_group_financing"
"2320","2320","Corporation Tax","account.data_account_type_payable","TRUE","l10n_mt","l10n_mt.account_group_taxation"
"3000","3000","Ordinary Shares","account.data_account_type_equity","FALSE","l10n_mt","l10n_mt.account_group_equity"
"3010","3010","Preference Shares","account.data_account_type_equity","FALSE","l10n_mt","l10n_mt.account_group_equity"
"3100","3100","Reserves","account.data_account_type_equity","FALSE","l10n_mt","l10n_mt.account_group_equity"
"3101","3101","Undistributed Reserves","account.data_account_type_equity","FALSE","l10n_mt","l10n_mt.account_group_equity"
"3200","3200","Profit and Loss Account","account.data_unaffected_earnings","FALSE","l10n_mt","l10n_mt.account_group_equity"
"4000","4000","Sales Type A","account.data_account_type_revenue","FALSE","l10n_mt","l10n_mt.account_group_sales"
"4001","4001","Sales Type B","account.data_account_type_revenue","FALSE","l10n_mt","l10n_mt.account_group_sales"
"4002","4002","Sales Type C","account.data_account_type_revenue","FALSE","l10n_mt","l10n_mt.account_group_sales"
"4009","4009","Discounts Allowed","account.data_account_type_revenue","FALSE","l10n_mt","l10n_mt.account_group_sales"
